kinase,kinase2,cor_cancer,lrt_cancer,eFDR_cancer
ATM,MAP3K1,0.109309087943202,0.219478549444602,0.729398663696263
ATM,MAP3K10,-0.524750492441669,17.0796201745188,0.000192678227360308
ATM,MAP3K11,-0.494820628622167,12.3436312743478,0.0014492753623134
ATM,MAP3K12,-0.225331505218513,1.08372281228094,0.416085790884141
ATM,MAP3K13,0.322768380352053,1.73185416857586,0.29651162790653
ATM,MAP3K14,-0.02060891687632,0.0874022109790076,0.833836206895621
ATM,MAP3K15,-0.380431952636979,3.9793029582861,0.0866171003715804
ATM,MAP3K19,-0.395093332686383,16.6221109782861,0.000192678227360308
ATM,MAP3K2,-0.277977701325984,2.84591240913267,0.158940397350721
ATM,MAP3K20,-0.338803367236779,4.03853244047787,0.0838951310859796
ATM,MAP3K21,-0.623792311922573,12.4995519531623,0.00150375939849038
ATM,MAP3K3,-0.104443664310047,0.376608324026051,0.648826291079023
ATM,MAP3K4,-0.179873746253332,1.42358653185227,0.342659279777902
ATM,MAP3K5,-0.0610494074078379,-0.0921170487298468,1
ATM,MAP3K6,-0.325021171605139,10.8405458357687,0.00189873417720897
ATM,MAP3K7,0.187202848712902,1.43167364072588,0.342499999999507
ATM,MAP3K8,-0.426363279032572,6.94514406102337,0.0176190476190042
ATM,MAP3K9,-0.620483089669032,11.5679874749234,0.00134228187918996
ATM,MAP4K1,-0.0593868011529451,-0.0255990976960447,1
ATM,MAP4K2,0.0177493786498998,0.0263472425200462,0.909414225940437
ATM,MAP4K3,-0.399385723426302,8.44561855871177,0.00983606557374265
ATM,MAP4K4,-0.296846924185357,3.65185804841485,0.10752688172023
ATM,MAP4K5,0.0202875062507785,0.0237940438382793,0.91145833333235
ATM,MAPK1,-0.0593645587492138,0.0646191019865228,0.857142857141911
ATM,MAPK10,-0.157570758372909,0.754833088553369,0.510230179027457
ATM,MAPK11,-0.369476987715044,6.90408327835382,0.0183962264150494
ATM,MAPK12,-0.580113529552966,12.7928994062132,0.00152671755724587
ATM,MAPK13,-0.0279243507094759,0.102935965646566,0.82152173912951
ATM,MAPK14,0.51321563360177,13.6243518863967,0.000806451612899857
ATM,MAPK15,-0.0402282060156901,-0.425180334689003,1
ATM,MAPK3,-0.200498363344283,1.80683222906555,0.284999999999566
ATM,MAPK4,-0.332049317040858,3.35087578341586,0.121602787456227
ATM,MAPK6,-0.0629175624309029,0.275044115808782,0.693905191872778
ATM,MAPK7,-0.150308915059914,1.29574090759979,0.364673913042965
ATM,MAPK8,0.625918225154781,18.801704717856,0.000192678227360308
ATM,MAPK9,0.684435723525602,23.7062406920948,0.000192678227360308
ATM,MAPKAPK2,0.382092162997196,4.96411946803414,0.0522633744854853
ATM,MAPKAPK3,0.0608359756931286,0.469674639372215,0.613285024153822
ATM,MAPKAPK5,0.140048695941147,2.00788232306115,0.25361445783093
ATM,MARK1,-0.49730052753685,8.31277862408217,0.0108695652173607
ATM,MARK2,-0.369220732578892,5.48143752551425,0.0386266094419742
ATM,MARK3,-0.452044567841965,7.7808174655413,0.0131979695431125
ATM,MARK4,-0.33708700398389,3.82412380898791,0.0967153284669704
ATM,MAST1,-0.542071323974138,11.8192113358595,0.00137931034482266
ATM,MAST2,-0.472234688546592,10.3790778257348,0.00370370370369186
ATM,MAST3,-0.323913271085372,7.76550886446046,0.0131313131312788
ATM,MAST4,-0.26228902613635,3.86775264017763,0.0944649446492659
ATM,MASTL,0.532061199621296,9.68149947674192,0.00650887573962502
ATM,MATK,-0.485404482183622,13.5245135416677,0.000793650793647531
ATM,MELK,0.424659161565531,8.08794621439495,0.0121052631578617
ATM,MERTK,0.0699102185367874,0.276284067399843,0.69411764705801
ATM,MET,-0.0364056491244151,-0.0317163183220828,1
ATM,MINK1,-0.577739533136003,19.4082165587539,0.000192678227360308
ATM,MKNK1,0.263445417106997,4.88614469653999,0.0544715447153325
ATM,MKNK2,0.645506663746324,13.658250964701,0.000813008130077877
ATM,MLKL,0.0781823031906611,0.0388638252528608,0.891331923889087
ATM,MOK,0.180519036517421,1.00539303097173,0.436604774535209
ATM,MOS,-0.44277384940839,11.0941685027831,0.00192307692307054
ATM,MST1R,-0.286573346781357,2.63145364727234,0.179032258064217
ATM,MTOR,0.42455200274803,9.58442368089879,0.00643274853799221
ATM,MUSK,-0.224134562356087,5.65208940323862,0.0354978354977559
